-159.508,751.063,-12.5664
684,-5.74683,15.6428,-1.5108
685,-7.51813,15.6879,0.378792
686,-5.80691,15.7572,0.189264
687,-7.47886,15.6031,-1.18129
688,-6.59785,15.6129,-1.34599
689,-8.42881,15.6384,0.483176
690,-6.63752,15.7175,0.284161
691,-8.37929,15.5737,-1.11678
692,-24.6077,75.8489,-4.5233
694,-6.64985,15.7262,0.674125
695,-7.54108,15.7419,-0.791194
696,-6.65053,15.7714,-0.875765
699,-8.43155,15.6624,-0.726789
700,-5.80231,15.8097,-0.570551
701,-9.35701,19.9114,5.80197
702,-9.58666,23.6256,4.60294
703,-7.52351,15.7005,-0.391217
704,-2.14542,3.57062,-1.78944
705,-8.38403,15.701,-0.306366
706,-6.58296,15.74,-0.475455
707,-3.29366,5.79153,-1.76892
708,-4.30897,9.52324,-2.02258
709,-7.50575,15.8192,-0.000706014
710,-5.73469,15.7583,-0.180308
711,-5.80721,11.8144,-1.99392
712,-6.19486,14.6947,-1.97665
713,-8.40633,15.7497,0.0836719
714,-6.61522,15.8287,-0.0853439
715,-7.38515,15.5351,-1.81097
716,-5.69683,15.6427,-1.5105
717,-7.45813,15.6879,0.379151
718,-5.72693,15.7271,0.189643
719,-7.41887,15.6031,-1.18093
720,-6.53785,15.6229,-1.3456
721,-8.35882,15.6383,0.483595
722,-6.58749,15.7575,0.284593
723,-8.31929,15.5836,-1.11639
724,-5.74006,15.7909,-0.95025
726,-6.60979,15.7962,0.674598
727,-7.46111,15.7118,-0.790815
728,-6.61051,15.8014,-0.875425
731,-8.36167,15.6623,-0.70637
732,-5.7324,15.7796,-0.560233
733,-9.31706,19.9913,5.82248
734,-9.51666,23.7055,4.61362
735,-7.4635,15.7105,-0.390824
736,-2.12542,3.5706,-1.78932
737,-8.29407,15.6609,-0.305961
738,-6.53294,15.76,-0.475089
739,-3.25365,5.80149,-1.76865
740,-4.27895,9.54322,-2.02233
741,-7.43576,15.8091,-0.00032042
742,-5.68468,15.7683,-0.179976
743,-5.76719,11.8344,-1.99361
744,-6.13485,14.7046,-1.97626
745,-8.33633,15.7496,0.0840909
746,-6.55524,15.7987,-0.0850849
747,-7.31521,15.535,-1.80055
748,-5.62683,15.6427,-1.51008
749,-7.39813,15.6878,0.37951
750,-5.66692,15.747,0.190069
751,-7.34887,15.603,-1.18051
752,-6.46785,15.6228,-1.34518
753,-8.29881,15.6482,0.483987
754,-6.5275,15.7474,0.284919
755,-8.25935,15.5835,-1.10603
756,-5.67006,15.7908,-0.949831
758,-6.55976,15.8362,0.675031
759,-7.40108,15.7418,-0.790356
760,-6.53054,15.7713,-0.875047
763,-8.31167,15.6722,-0.706038
764,-5.69236,15.8296,-0.559827
765,-9.25706,20.0712,5.8331
766,-9.46663,23.8055,4.62426
767,-7.4035,15.7204,-0.390432
768,-2.10489,3.56092,-1.77911
769,-8.22349,15.6712,-0.305317
770,-6.45237,15.7703,-0.474544
771,-3.22309,5.80182,-1.76833
772,-4.22845,9.5435,-2.02196
773,-7.35517,15.7894,0.000203312
774,-5.60409,15.7786,-0.179504
775,-5.72671,11.8447,-1.99322
776,-6.0744,14.7149,-1.97582
777,-8.26571,15.7599,0.0847353
778,-6.48462,15.839,-0.0844987
779,-7.24476,15.5453,-1.79999
780,-5.55636,15.6429,-1.5097
781,-7.32748,15.7082,0.380108
782,-5.59629,15.7574,0.19048
783,-7.26837,15.6033,-1.17992
784,-6.40741,15.6431,-1.33472
785,-8.22816,15.6586,0.484632
786,-6.45687,15.7478,0.285373
787,-8.17883,15.5938,-1.10533
788,-22.6127,72.1465,-4.2844
790,-6.47912,15.8165,0.675477
791,-7.33057,15.722,-0.789891
792,-6.46001,15.7816,-0.87456
795,-8.23112,15.6825,-0.705333
796,-5.61182,15.8199,-0.559423
797,-9.196,20.1417,5.8438
798,-9.38572,23.8859,4.63498
799,-7.32294,15.7107,-0.389875
800,-2.09489,3.56091,-1.77905
801,-8.16341,15.6911,-0.314897
802,-6.39238,15.7702,-0.47419
803,-3.22298,5.85185,-1.77817
804,-4.19844,9.56348,-2.02171
805,-7.29511,15.7994,-0.00940962
806,-5.5441,15.7685,-0.179183
807,-5.66678,11.8346,-1.9829
808,-6.02439,14.7349,-1.97546
809,-8.2057,15.7799,0.0851551
810,-6.41463,15.8289,-0.0841188
