-156.489,751.847,-12.5651
692,-6.72305,15.6757,-0.939962
694,-7.66795,15.795,0.722992
695,-8.57251,15.7176,-0.774392
696,-7.66271,15.7867,-0.86704
699,-9.52234,15.6586,-0.691615
700,-6.76179,15.7853,-0.559732
701,-11.3645,21.4134,6.44986
702,-11.5948,24.8951,4.99413
703,-8.57129,15.7172,-0.364394
704,-2.30937,3.45144,-1.75575
705,-9.46106,15.6781,-0.271776
706,-7.59154,15.7662,-0.467272
707,-3.56685,5.60285,-1.72978
708,-4.75353,9.13445,-1.96259
709,-8.53003,15.7767,0.0355457
710,-6.68066,15.7248,-0.160034
711,-6.30102,11.2062,-1.90583
712,-6.76797,13.8267,-1.88174
713,-9.50976,15.7677,0.128464
714,-7.61029,15.8058,-0.0671729
715,-8.40585,15.5185,-1.8151
716,-6.64485,15.6162,-1.52026
717,-8.479,15.6563,0.425271
718,-6.68952,15.7544,0.210024
719,-8.44383,15.5878,-1.16491
720,-7.52435,15.607,-1.34764
721,-9.40873,15.5972,0.537989
722,-7.56925,15.7253,0.312623
723,-9.39369,15.5489,-1.10211
724,-6.66306,15.6656,-0.940152
726,-7.59796,15.7849,0.722773
727,-8.5125,15.7275,-0.774561
728,-7.59273,15.7666,-0.86727
731,-9.46233,15.6685,-0.691784
732,-6.70177,15.7752,-0.549921
733,-11.3044,21.4833,6.44975
734,-11.5347,24.985,5.00404
735,-8.49132,15.6871,-0.364664
737,-9.3811,15.648,-0.272046
738,-7.52153,15.7461,-0.457502
739,-3.54684,5.61283,-1.72983
740,-4.71353,9.13441,-1.96271
741,-8.46003,15.7766,0.0353364
742,-6.63061,15.7647,-0.160143
743,-6.26099,11.2261,-1.90593
744,-6.71795,13.8366,-1.88188
745,-9.41981,15.7276,0.128154
746,-75.5406,175.724,-0.6994
747,-8.35585,15.5184,-1.81525
748,-6.58482,15.6161,-1.51044
749,-8.40899,15.6662,0.425072
750,-6.62952,15.7544,0.209845
751,-8.37386,15.5878,-1.17512
752,-7.46431,15.6169,-1.33781
753,-9.3587,15.6271,0.53787
754,-7.49927,15.7053,0.312394
755,-9.32366,15.5488,-1.09232
756,-6.60305,15.6755,-0.940321
758,-7.52796,15.7849,0.722563
759,-8.44251,15.7174,-0.774781
760,-7.5427,15.7965,-0.867388
763,-9.40228,15.7085,-0.691922
764,-6.63178,15.7652,-0.550141
765,-11.2442,21.5532,6.46964
766,-11.4746,25.075,5.01395
767,-8.44131,15.697,-0.364804
768,-2.28898,3.49182,-1.7758
769,-9.30094,15.6582,-0.282787
770,-7.45136,15.7363,-0.458167
771,-3.52647,5.63318,-1.73998
772,-4.67319,9.1447,-1.96304
773,-8.39986,15.7769,0.0346756
774,-6.56043,15.775,-0.160756
775,-6.21068,11.2364,-1.90639
776,-6.66764,13.8569,-1.87239
777,-9.32966,15.7178,0.12736
779,-8.27562,15.5186,-1.81596
780,-6.51459,15.6263,-1.51105
781,-8.31888,15.6264,0.424286
782,-6.54938,15.7346,0.209173
783,-8.30362,15.588,-1.16581
